,brand_name,ticker_name
0,Agilent Technologiesアジレント テクノロジーズ,A
1,Alcoaアルコア,AA
2,Armada Acquisition Corp1アルマダ アクイジション1,AACI
3,Aadi Biosciences Incアーディ バイオサイエンシズ,AADI
4,American Airlines Groupアメリカン航空,AAL
5,Atlantic American Corporationアトランティック アメリカン,AAME
6,Aaron's Companyアーロンズ,AAN
7,Applied Optoelectronicsアプライド オプトエレクトロニクス,AAOI
8,AAONAAON,AAON
9,Advance Auto Partsアドバンス オート パーツ,AAP
10,Appleアップル,AAPL
11,Almaden Minerals Ltd Bアルマデン ミネラルズ B,AAU
12,AbbVieアッヴィ,ABBV
13,Ameris Bancorpアメリス バンコープ,ABCB
14,AbCellera Biologics Incアブセレラ・バイオロジクス,ABCL
15,Abeona Therapeuticsアベオナ セラピューティクス,ABEO
16,Asbury Automotive Groupアズベリー オートモーティブ グループ,ABG
17,ARCA biopharma Incｱﾙｶ･ﾊﾞｲｵﾌｧｰﾏ,ABIO
18,Abacus Life Incアバカス ライフ,ABL
19,ABM IndustriesABM インダストリーズ,ABM
20,Airbnb Inc エアビー　アンド　ビー,ABNB
21,Acumen Pharmaceuticals Incアキュメン ファーマシューティカルズ,ABOS
22,Absci Corpアブサイ,ABSI
23,Abbott Laboratoriesアボット ラボラトリーズ,ABT
24,Arbutus Biopharma Corporation アービュタス　バイオ　ファーマ,ABUS
25,ABVC BioPharma IncABVC バイオファーマ,ABVC
26,Arcosaアルコサ,ACA
27,Atlantic Coastal Acquisition Corp2 Aアトランティック コースタル2 A,ACAB
28,ACADIA Pharmaceuticalsアカディア ファーマシューティカルズ,ACAD
29,Atlantic Coastal Acquisition Corp Aアトランティック コースタル アクイジシ A,ACAH
30,Alset Capital Acquisition Corp Aアルセット キャピタル アクイジション A,ACAX
31,Aurora Cannabis Inc オーロラ・カンナビス,ACB
32,Ace Global Business Acquisition Limiteエース グローバル ビジネス アクイジシ,ACBA
33,Accolade Incアコレード,ACCD
34,Acco Brandsアコ ブランズ,ACCO
35,ProFrac Holding Corp Aプロフラック ホールディング コープ A,ACDC
36,Accel Entertainment Incアクセル エンターテインメント,ACEL
37,Acer Therapeutics Incエーサー セラピューティクス,ACER
38,Adicet Bio Incアディセット バイオ,ACET
39,Arch Capital Groupアーチ キャピタル グループ,ACGL
40,Aceragen Incアセラゲン,ACGN
41,Acadia Healthcareアカディア ヘルスケア,ACHC
42,Archer Aviation Incアーチャー アビエーション,ACHR
43,Achieve Life Sciencesアチーブ ライフ サイエンシズ,ACHV
44,Albertsons Cos Inc Aアルバートソンズ A,ACI
45,American Coastal Insurance Corpアメリカン コースタル インシュアランス,ACIC
46,AC Immune SAAC イミューン,ACIU
47,ACI WorldwideACI ワールドワイド,ACIW
48,Axcelis Technologiesアクセリス テクノロジーズ,ACLS
49,Arcellx Incアクセルエックス,ACLX
50,AECOMエーイーコム,ACM
51,Acm Research Inc AACMリサーチ A,ACMR
52,Accenture Aアクセンチュア A,ACN
53,ACNBACNB,ACNB
54,Ascent Industries Coアセント インダストリー,ACNT
55,Acorda Therapeuticsアコーダ セラピューティクス,ACOR
56,Acropolis Infrastructure Acquisition C Aアクロポリス インフラストラクチャー A,ACRO
57,Aclaris Therapeuticsアクラリス セラピューティクス,ACRS
58,AcelRx PharmaceuticalsアセルRXファーマシューティカルズ,ACRX
59,Acasti Pharma Incアキャスティ ファーマ,ACST
60,Acacia Researchアカシア リサーチ,ACTG
61,Acme United Corporationｱｸﾒ･ﾕﾅｲﾃｯﾄﾞ,ACU
62,ACV Auctions Inc AACVオークションズ A,ACVA
63,Acurx Pharmaceuticals Incアクルックス,ACXP
64,Adobeアドビ,ADBE
65,ADC Therapeutics SA ADC セラピューティクス,ADCT
66,Color Star Technology Co Ltdカラー スター テクノロジー,ADD
67,Advanced Emissions Solutionsアドバンストエミッションズソリューション,ADES
68,Adit EdTech Acquisition Corp.アディット エドテック アクイジション,ADEX
69,Analog Devicesアナログ デバイセズ,ADI
70,Adial Pharmaceuticals  Incエディアル　ファーマシューティカルズ,ADIL
71,Archer Daniels Midlandアーチャー ダニエルズ ミッドランド,ADM
72,ADMA BiologicsADMA バイオロジックス,ADMA
73,Advent Technologies Holdings  Incアドベント　テクノロジーズ,ADN
74,Adient Public Limited Companyアディエント,ADNT
75,Edoc Acquisition Corp-Cl Aエドク　アクイジション　Ａ,ADOC
76,Automatic Data Processingオートマチック データ プロセシング,ADP
77,Adaptive Biotechnologies Corpアダプティブ バイオテクノロジーズ,ADPT
78,Ault Disruptive Technologies Corporatiアルト ディスラプティブ テクノロジーズ,ADRT
79,Ads-Tec Energy Public Limited CompanyAds テック エナジー パブ,ADSE
80,Autodeskオートデスク,ADSK
81,ADTADT,ADT
82,AdTheorent Holding Company Incアドセオレント,ADTH
83,ADTRAN Holdings Incアドトラン ホールディングス,ADTN
84,Aditxt Incアディテクスト,ADTX
85,Addus HomeCareアダス ホームケア,ADUS
86,Advantage Solutions Incアドバンテージ ソリューションズ,ADV
87,Adverum Biotechnologies アドベラム バイオテクノロジーズ,ADVM
88,Adams Resources & Energyアダムス リソーシズ アンド エナジー,AE
89,Amerenアメレン,AEE
90,Antelope Enterprise Holdings Aアンテロープ エンタープライズ A,AEHL
91,Aehr Test Systemsエアテスト,AEHR
92,Alset Incアルセット,AEI
93,Advanced Energy Industriesアドバンストエナジーインダストリーズ,AEIS
94,American Equity Investment Lifeアメリカエクイティインベストメントライフ,AEL
95,Agnico Eagle Minesアグニコ イーグル マインズ,AEM
96,Aethlon Medicalエスロン メディカル,AEMD
97,Alliance Entertainment Holding Corp Aアライアンス エンターテイメント A,AENT
98,American Eagle Outfittersアメリカン イーグル アウトフィッターズ,AEO
99,AEON Biopharma Inc Aイオン バイオファーマ インク A,AEON
100,American Electric Powerアメリカン エレクトリック パワー,AEP
101,AerCap Holdings NVｴｱｷｬｯﾌﾟ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ,AER
102,AESAES,AES
103,Atlas Energy Solutions Incアトラス エナジー ソリューションズ,AESI
104,Aeva Technologies  Incエイーヴァ　テクノロジーズ,AEVA
105,ADDvantage Technologies Group  IncADDバンテージ　テクノロジーズ,AEY
106,AudioEye Incｵｰﾃﾞｨｵｱｲ,AEYE
107,AEterna Zentaris Incエテルナ ゼンタリス,AEZS
108,Affinity Bancshares Incアフィニティ バンクシェア,AFBI
109,American Financial Groupアメリカン ファイナンシャル グループ,AFG
110,Acutus Medical Incアキュータス メディカル,AFIB
111,Aflacアフラック,AFL
112,Affimed NVアフィメド,AFMD
113,Forafric Global PLCフォラフリック グローバル,AFRI
114,Affirm Holdings Inc アファーム ホールディングス,AFRM
115,Afya Limitedアフヤ　クラスA,AFYA
116,First Majestic Silver Corpファースト マジェスティック シルバー,AG
117,Allied Gaming & Entertainmentアライド ゲーミング エンターテイメント,AGAE
118,AGBA Group Holding LimitedAGBA グループ,AGBA
119,AGCOアグコ,AGCO
120,AgeX Therapeutics Inc エイジェックス セラピューティックス,AGE
121,Agenusアジェナス,AGEN
122,Agrify Corporationアグリファイ,AGFY
123,Alamos Gold Inc Aアラモス ゴールド A,AGI
124,AgileThought Incアジャイルソート インク,AGIL
125,Agios Pharmaceuticalsアジオス ファーマシューティカルズ,AGIO
126,agilon health Incアジロンヘルス,AGL
127,Aeglea BioTherapeuticsアエグリア バイオセラピューティクス,AGLE
128,Federal Agricultural Mortgage Cフェデラルアグリカルチャラルモーゲージ C,AGM
129,AGM Group Holdings IncAGMグループ ホールディングス,AGMH
130,Assured Guaranty Ltdアシュアード ギャランティー,AGO
131,Avangridアバングリッド,AGR
132,Agriforce Growing Systems Ltdアグリフォース,AGRI
133,Adecoagro SAアデコアグロ,AGRO
134,Agile Therapeuticsアジャイル セラピューティクス,AGRX
135,PlayAGS IncプレイAGS,AGS
136,Agiliti  Incアジリティ,AGTI
137,Arganアルガン,AGX
138,Agilysys Incアジリシス,AGYS
139,AdaptHealth Corpアダプトヘルス,AHCO
140,C3Ai Inc Aシースリーエーアイ A,AI
141,AIB Acquisition Corporation AAIB アクイジション A,AIB
142,American International Groupアメリカン インターナショナル グループ,AIG
143,Albany International Aアルバニー インターナショナル A,AIN
144,Arteris Incアルテリス,AIP
145,AARエイエイアール コーポレーション,AIR
146,Airgainエアゲイン,AIRG
147,Air Industries Groupエアー インダストリーズ,AIRI
148,AirSculpt Technologies Incエアスカルプト テクノロジーズ,AIRS
149,Air Tエアー ティー,AIRT
150,Applied Industrial Technologiesアプライドインダストリアルテクノロジーズ,AIT
151,Assurantアシュラント,AIZ
152,Arthur J. Gallagherアーサー J. ギャラガー,AJG
153,aka Brands Holding CorpAKAブランズ・ホールディング,AKA
154,Akamai Technologiesアカマイ テクノロジーズ,AKAM
155,Akanda CorpAKANDA コーポ,AKAN
156,Akebia Therapeuticsアケビア セラピューティクス,AKBA
157,Akili Inc Aアキリ A,AKLI
158,Akero Therapeutics Incアケロ セラピューティクス,AKRO
159,Akoustis Technologies Incアコウスティス テクノロジーズ,AKTS
160,Akoya Biosciences Inc アコヤ バイオサイエンシズ,AKYA
161,Air Leaseエア リース,AL
162,Albemarleアルベマール,ALB
163,Avalon GloboCare Corpアバロン グロボケア,ALBT
164,Alcon Incアルコン,ALC
165,AltC Acquisition Corp Aアルトシー アクイジション A,ALCC
166,Alicoアリコ,ALCO
167,Aldeyra Therapeuticsアルデイラ セラピューティクス,ALDX
168,ALLETEアレッテ,ALE
169,Alector Incアレクター,ALEC
170,Alamo Groupアラモ グループ,ALG
171,Allegro Microsystems Inc アレグロマイクロシステムズ,ALGM
172,Align Technologyアライン テクノロジー,ALGN
173,Aligos Therapeutics  Incアリゴス　セラピューティクス　インク,ALGS
174,Allegiant Travelアレジアント トラベル,ALGT
175,Alignment Healthcare  Incアライメント　ヘルスケア　インク,ALHC
176,Alimera Sciencesアリメラ サイエンシーズ,ALIM
177,Alight Inc Aアライト A,ALIT
178,Alaska Air Groupアラスカ エア グループ,ALK
179,Alkermesアルカームス,ALKS
180,Alkami Technology  Incアルカミテクノロジー,ALKT
181,Allstateオールステート,ALL
182,Allegion Public Limited Companyｱﾚｼﾞｵﾝ,ALLE
183,Allego Holding BVアレゴホールディングス,ALLG
184,Allakos Incアラコス,ALLK
185,Allogene Therapeutics Incアロジーン セラピューティクス,ALLO
186,Allarity Therapeutics Incアラリティ セラピューティクス,ALLR
187,Allot Ltd アロット コミュニケーションズ,ALLT
188,Ally Financialアライ フィナンシャル,ALLY
189,Allient Incアライアント,ALNT
190,Alnylam Pharmaceuticalsアルナイラム ファーマシューティカルズ,ALNY
191,Astronova Incアストロノバ,ALOT
192,Alpine Immune Sciencesアルパイン イミューン サイエンシズ,ALPN
193,"Alpine 4 Holdings, Inc.アルパイン4 ホールディングス",ALPP
194,Alarm.Com Holdingsアラーム ドットコム ホールディングス,ALRM
195,Aileron Therapeuticsエイルロン セラピューティクス,ALRN
196,Alerus Financial Corpアレラス ファイナンシャル,ALRS
197,Alpha Star Acquisition Corporationアルファ スター アクイジション コーポ,ALSA
198,Allison Transmission Holdingsアリソン トランスミッション ホールディングス,ALSN
199,Altimmuneアルティミュン,ALT
200,Alta Equipment Group IncAlta Equipment Group Inc,ALTG
201,AlTi Global Inc Aアルティ グローバル A,ALTI
202,Alto Ingredients Incアルト イングレディアンツ,ALTO
203,Altair Engineering Aアルテア エンジニアリング A,ALTR
204,Altitude Acquisition Corpアルティチュード アクイジション,ALTU
205,Allurion Technologies Incアルリオン テクノロジーズ,ALUR
206,Autoliv Incオートリブ,ALV
207,Alvotech Holdingsアルヴォテック ホールディングス,ALVO
208,Allovir Incアロヴィア,ALVR
209,ALX Oncology Holdings IncALXオンコロジー ホールディングス,ALXO
210,Alithya Group inc Aアリシヤ グループ A,ALYA
211,Alzamend Neuro Incアルザメンド,ALZN
212,Antero Midstream Corporationアンテロ ミッドストリーム,AM
213,Amalgamated Bankアマルガメート バンク,AMAL
214,Ambrx Biopharma Inc ADRアンブレックス バイオファーマ ADR,AMAM
215,American Acquisition Op-Cl Aアメリカン　アクイジション　オポチュニティ,AMAO
216,Applied Materialsアプライド マテリアルズ,AMAT
217,Ambarellaアンバレラ,AMBA
218,Ambac Financial Groupアンバック フィナンシャル グループ,AMBC
219,Ambipar Emergency Response Aアンビパー エマージェンシー A,AMBI
220,Ardagh Metal Packaging SA アルダ メタル パッケージング,AMBP
221,AMC Entertainment Holdings AAMCエンターテインメント HD A,AMC
222,Amcor plcAmcor PLC,AMCR
223,AMC Networks AAMC ネットワーク A,AMCX
224,Advanced Micro Devicesアドバンスト マイクロ デバイシズ,AMD
225,AMETEKアメテック,AME
226,Amedisys アメディシス,AMED
227,Apollo Medical Holdings Incアポロ メディカル ホールディングス,AMEH
228,Affiliated Managers Groupアフィリエーテッド マネジャーズ グループ,AMG
229,Amgenアムジェン,AMGN
230,Assetmark Financial Holdings Incアセットマーク ファイナンシャル ホールディングス,AMK
231,Amkor Technologyアムコー テクノロジー,AMKR
232,Amylyx Pharmaceuticals Incアミリックス ファーマシューティカルズ,AMLX
233,Amn Healthcare ServicesAMNヘルスケア サービシズ,AMN
234,American National Banksharesアメリカン ナショナル バンクシェアーズ,AMNB
235,Ameriprise Financialアメリプライズ ファイナンシャル,AMP
236,Ampio Pharmaceuticals Incアンピオファーマシューティカルズ,AMPE
237,AmpliTech Group  Incアンプリテック　グループ,AMPG
238,Amphastar Pharmaceuticals アンファスター ファーマシューティカルズ,AMPH
239,Amplitude Incアンプリチュード,AMPL
240,Amplify Energy Corpアンプリファイ　エナジー,AMPY
241,Alpha Metallurgical Resources Incアルファ メタルロジカル リソーシズ,AMR
242,Ameresco Aアメレスコ A,AMRC
243,A-Mark Precious Metals IncＡマーク プレシャス メタルズ,AMRK
244,Amyris アミリス,AMRS
245,Amneal Pharmaceuticals Inc Aアムニール ファーマシューティカルズ A,AMRX
246,American Shared Hospital Servicesアメリカン シェアード,AMS
247,American Superconductorアメリカン スーパーコンダクター,AMSC
248,AMERISAFEアメリセーフ,AMSF
249,Amesite Incアメス　インク,AMST
250,American Software Aアメリカン ソフトウエア A,AMSWA
251,Amerant Bancorp Inc Aアメラント バンコープ A,AMTB
252,Applied Molecular Transport Incアプライド モルキュラー トランスポート,AMTI
253,Aemetisアメティス,AMTX
254,American Woodmarkアメリカン ウッドマーク,AMWD
255,American Well Corpアメリカンウェル,AMWL
256,Amazon.comアマゾン ドット コム,AMZN
257,AutoNationオートネーション,AN
258,AnaptysBioアナプティスバイオ,ANAB
259,The Andersons Incアンダーソンズ,ANDE
260,Anebulo Pharmaceuticals Incアネブロファーマ,ANEB
261,Arista Networksアリスタ ネットワークス,ANET
262,Abercrombie & Fitch Aアバークロンビー アンド フィッチ A,ANF
263,Angi Inc Aアンジ A,ANGI
264,AngioDynamicsアンジオダイナミクス,ANGO
265,Anika Therapeuticsアニカ セラピューティクス,ANIK
266,Ani PharmaceuticalsANIファーマシューティカルズ,ANIP
267,Anixa Biosciences Incアニクサ バイオサイエンシズ,ANIX
268,Annexon Incアネクソン,ANNX
269,ANSYSアンシス,ANSS
270,Anthemアンセム,ANTM
271,AN2 Therapeutics IncAN2 セラピューティクス,ANTX
272,Annovis Bio IncAnnovis Bio Inc,ANVS
273,Sphere 3D Corpスフィア３D,ANY
274,Arogo Capital Acquisition Corp Aアロゴ キャピタル アクイジション A,AOGO
275,AONエーオン,AON
276,American Oncology Network Inc Aアメリカン オンコロジー ネットワーク A,AONC
277,Artivion Incアーティヴィオン,AORT
278,A.O.SmithA.O.スミス,AOS
279,Alpha and Omega Semiconductor Limitedアルファ アンド オメガ セミコンダクター,AOSL
280,American Outdoor Brands Incアメリカン アウトドア ブランズ,AOUT
281,Ampco Pittsburghアンプコ ピッツバーグ,AP
282,APA Corporationアパ コーポレーション,APA
283,Artisan Partners Asset Management Incｱｰﾁｻﾞﾝ･ﾊﾟｰﾄﾅｰｽﾞ･ｱｾｯﾄﾏﾈｼﾞﾒﾝﾄ,APAM
284,AP Acquisition Corp AAP アクイジション A,APCA
285,AppTech Payments Corpアップテック ペイメント,APCX
286,Air Products & Chemicalsエアープロダクツ アンド ケミカルズ,APD
287,Applied DNA SciencesアプライドDNAサイエンシズ,APDN
288,American Public Educationアメリカン パブリック エデュケーション,APEI
289,APi Group CorporationAPI Group Corp,APG
290,Apollo Strategic Growth Capital2 Aアポロ ストラテジック2 A,APGB
291,Amphenol Aアンフェノール A,APH
292,Apollomics Inc Aアポロミクス A,APLM
293,Apellis Pharmaceuticals Incアペリス ファーマシューティカルズ,APLS
294,Applied Therapeutics Incアプライド セラピューティクス,APLT
295,Aptorum Group Ltd-Class Aアプトラム　グループ　Ａ,APM
296,Apollo Global Managementアポロ グローバル マネジメント,APO
297,Apogee Enterprisesアポジー エンタープライジーズ,APOG
298,AppLovin Corp Aアップラビン A,APP
299,Appfolio Aアップフォリオ A,APPF
300,Appiancorpアピアンコープ,APPN
301,Digital Turbineデジタル タービン,APPS
302,Aprea Therapeutics Incアプリア セラピューティクス,APRE
303,Blue Apron Holdings Aブルーエプロン A,APRN
304,Alpha Pro Tech Ltdアルファ プロ テック,APT
305,Aptose Biosciences Incアプトス バイオサイエンセス,APTO
306,Aptiv PLCアプティブ,APTV
307,Aptevo Therapeutics Incアプテボ セラピューティクス,APVO
308,Asia Pacific Wire & Cable Corporationアジア パシフィック ワイアー,APWC
309,APx Acquisition Corp1APX アクイジション コー1,APXI
310,Apyx Medical Corporationアピックス メディカル,APYX
311,Aquabounty Technologiesアクアバウンティ テクノロジーズ,AQB
312,Aqua Metals Incアクア・メタルズ,AQMS
313,Algonquin Power and Utilities Corpアルゴンキンパワー アンド ユーティリティーズ,AQN
314,Aquestive Therapeutics Incアクエスティブ セラピューティクス,AQST
315,Antero Resources Corporationアンテロ リソーシズ,AR
316,Aravive Incアラバイブ,ARAV
317,Accuray Incorporatedアキュレイ,ARAY
318,Arbe Robotics Ltdアーブ ロボティクス,ARBE
319,Aequi Acquisition Corpエークイ　アクイジション,ARBG
320,ARC Document Solutions Inc ARC ドキュメント ソリューションズ,ARC
321,ArcBest Corpアークベスト,ARCB
322,Arco Platform Limited Aアルコ プラットフォーム A,ARCE
323,Arch Resources Inc Aアーチ リソーシズ A,ARCH
324,Arbor Rapha Capital Bioholdings Corp1アーバー ラファ キャピタル バイオホ1,ARCK
325,Arcos Dorados Holdings Aアルコス ドラドス ホールディングス A,ARCO
326,Arcturus Therapeutics Holdings Incアークトゥルス セラピューティクス ホールディングス,ARCT
327,Ardagh Group SAｱﾙﾀﾞﾌ･ｸﾞﾙｰﾌﾟ,ARD
328,Ardelyx Incアーデリクス,ARDX
329,American Rebel Holdings Incアメリカン レイベル ホールディングス,AREB
330,American Resources Corporationアメリカン　リソーシズ,AREC
331,The Arena Group Holdings Incザ アレナ グループ,AREN
332,Ares Management Corp Aアレス マネジメント A,ARES
333,Argo Group International Holdings Ltdアルゴ グループ インターナショナル ホールディングス,ARGO
334,Arhaus Incアーハウス,ARHS
